Exchange;Time;Side;Price;Size;Instrument
Deribit;1596787283;Buy;Market;150;BTC-PERPETUAL
Deribit;1596787283;Buy;Market;-750;BTC-PERPETUAL
Deribit;1596787338;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787339;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787341;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787353;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787354;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787355;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787364;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787365;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787368;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787370;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787373;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787374;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787375;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787377;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787379;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787388;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787395;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787398;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787402;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787405;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787408;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787410;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787413;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787414;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787415;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787416;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787418;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787423;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787425;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787427;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787428;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787429;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787432;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787434;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787437;Sell;Market;-600;BTC-PERPETUAL
Deribit;1596787438;Sell;Market;-600;BTC-PERPETUAL
